公所,符合人數,開戶總人數,開戶率
桃園區,765,555,72.55
中壢區,709,504,71.09
大溪區,358,360,100
楊梅區,462,314,67.97
蘆竹區,209,124,59.33
大園區,119,114,95.8
復興區,332,110,33.13
八德區,607,2713,44.65
龍潭區,242,235,97.11
平鎮區,271,186,68.63
新屋區,78,59,75.64
觀音區,188,127,67.55
龜山區,281,294,100
長期安置兒少,177,177,100
合計,"4,798","3,430",71.49%
